index,y_pred
1569,0.35783333333333334
1344,1.0
1429,0.21326190476190474
896,0.12
101,0.99
605,0.06633333333333333
829,0.63
116,0.05688492063492064
837,0.6
1466,0.74
93,0.55
497,0.32
351,0.22999999999999995
579,0.11
1790,0.005
1543,0.0
1066,0.015
1910,0.5058333333333332
1307,0.11398412698412697
102,0.73
144,0.01
268,0.18833333333333335
1570,0.11
1692,0.39
146,0.6883333333333332
1512,0.07223593073593075
1611,0.86
1430,1.0
379,0.96
449,0.67
1092,1.0
353,0.0
1970,0.12
1467,0.63
527,0.5795
1959,0.26
61,0.02142857142857143
1509,0.3383452380952381
549,0.0
178,0.02
1213,0.1708333333333333
1968,0.09833333333333334
237,0.0
701,0.91
1896,0.9933333333333333
1536,0.4254999999999999
813,0.6592857142857141
734,0.97
751,0.98
399,0.34025000000000005
354,0.06085317460317461
1072,0.0
951,1.0
619,0.5016666666666666
554,0.645
31,0.0
1777,0.10550000000000001
1318,0.8883333333333334
1685,0.11633333333333334
825,0.02
394,0.005
1203,0.002
1410,0.02
1603,0.0
729,0.42733333333333334
1051,0.48833333333333334
675,0.09466666666666666
1306,0.09500793650793651
223,0.31047619047619057
1413,0.31516666666666665
1435,0.0
1058,0.34
76,0.47717171717171714
550,0.48999999999999994
358,0.11
686,1.0
1891,0.19066666666666665
135,0.01
1617,0.18278571428571427
692,0.0
241,1.0
1655,0.11
384,0.08
1064,0.03526190476190476
113,0.45
798,0.07
512,0.09
615,0.028666666666666667
888,0.2
111,0.004
1403,0.5488333333333333
1494,0.06
544,0.0
1714,0.5001666666666668
24,1.0
1650,0.95
882,0.126
230,0.17
381,0.03526190476190476
1286,0.13879148629148627
312,0.18
388,0.05416666666666666
1497,0.31
1946,0.41
1861,0.20933333333333334
1837,0.58
114,0.6975000000000001
348,0.31933333333333336
1694,0.0
564,0.3041666666666666
486,0.18
1664,0.09415079365079365
1757,0.61
946,0.99
668,0.26
711,0.8858333333333333
12,0.5266666666666666
1706,0.31
1925,0.01
255,1.0
1702,0.7981666666666666
674,0.5626666666666666
1879,0.0855
1544,0.46666666666666673
724,0.03666666666666667
1928,1.0
224,0.1
1153,0.31516666666666665
513,0.2791666666666667
863,0.04703571428571429
845,0.031166666666666665
1303,0.1632783605283605
285,0.45049999999999996
1513,0.99
1305,0.0
314,1.0
849,0.5338571428571428
866,0.6999285714285715
189,0.9
88,0.0175
180,0.01
1643,0.12349999999999998
1382,0.9833333333333334
1747,1.0
336,0.09
1432,0.01633333333333333
1259,0.31
171,0.11
1888,0.125
71,0.01
1289,0.8255
1681,0.01
970,0.065
1406,0.31972619047619044
1600,0.0
860,0.71
341,0.21
103,1.0
1559,0.0
385,0.008333333333333333
910,0.5338571428571428
768,1.0
370,0.11
1273,0.29
1581,0.36666666666666664
1215,1.0
1459,0.34
79,0.059333333333333335
760,0.45699999999999996
865,1.0
1518,0.049416666666666664
1230,1.0
20,0.02
1448,0.4566666666666667
1338,0.96
921,0.01
606,0.24174603174603168
117,0.0
1873,0.0
403,0.09416666666666666
1801,0.1521619769119769
1561,0.05
474,0.01
568,0.34025000000000005
408,0.0
1607,0.055
806,0.11716666666666667
1849,0.025
376,0.026000000000000002
1904,0.04
1133,0.319
1282,0.99
1229,0.7633333333333333
1499,0.0175
365,0.89
988,0.1
1713,0.15070526695526693
455,0.4058333333333334
1139,0.1038333333333333
1477,0.008333333333333333
303,0.0
234,0.4786904761904762
290,0.10089682539682539
1537,0.12
383,0.0
67,1.0
1120,0.0
604,0.0
1324,0.86
1243,0.5867857142857144
1117,0.02
447,0.01
816,0.4389761904761904
364,0.0
620,0.14
900,0.01
1003,0.10157142857142856
153,0.15842857142857142
1696,0.4473849206349207
307,0.05533333333333333
1076,1.0
438,0.01
767,0.0
591,0.058095238095238096
1090,0.2885238095238095
1809,0.03333333333333333
643,0.17605952380952378
1826,0.2785
372,0.09266666666666666
614,0.3
1903,0.12
1663,0.04
1411,0.085
1388,0.03
612,0.47
1043,0.0
1481,0.18833333333333335
1093,1.0
134,0.6633333333333333
1111,0.01
1562,0.0
699,0.5514285714285714
1503,0.12
1951,0.38
1548,0.4753333333333332
282,1.0
1577,0.0
1729,0.69
1530,0.085
1414,0.008666666666666666
239,0.6678571428571429
1260,0.34794047619047624
498,0.4666666666666666
1718,0.008666666666666666
1618,0.0
1982,1.0
1780,0.06
1620,0.14066666666666666
276,0.0
648,0.15070526695526693
884,0.71
504,0.12
597,0.6203015873015874
1660,0.03526190476190476
1021,0.005
1040,0.018095238095238095
1565,0.8255
1228,0.01933333333333333
1385,0.1633109668109668
1745,0.3283333333333333
316,0.2583333333333333
112,0.5724686147186147
954,0.12
439,0.24174603174603168
650,0.81
1662,0.125
1109,0.92
416,0.96
173,0.695
1465,0.46
719,0.11199999999999999
